Time [yyyy-MM-dd HH:mm:ss];903.00.IJ: Discharge at (IJssel03.A. 909). Flow1D [m³/s];922.00.IJ: Discharge at (IJssel03.B.B.A. 491.5215). Flow1D [m³/s];932.00.IJ: Discharge at (IJssel04.B. 2397.599). Flow1D [m³/s];940.00.IJ: Discharge at (IJssel05.B. 959.73). Flow1D [m³/s];947.00.IJ: Discharge at (IJssel06.B.B.B.A. 1302.778). Flow1D [m³/s]
29-12-99 00:00;610.22;644.23;792.9;808.78;860.96
29-12-99 01:00;569.74;541.04;641.76;721.76;866.95
29-12-99 02:00;538.17;565.59;631.4;705.44;776.67
29-12-99 03:00;519.7;572.94;638.78;685.36;738.57
29-12-99 04:00;502.2;569.21;643.07;675.97;718.48
29-12-99 05:00;488.95;562.58;644.67;671.02;707.3
29-12-99 06:00;479.82;555.22;644.48;667.6;700.45
29-12-99 07:00;473.77;548.42;641.09;664.44;695.62
29-12-99 08:00;469.84;542.18;636.7;660.87;691.57
29-12-99 09:00;467.31;536.49;631.84;657.11;687.72
29-12-99 10:00;465.75;531.38;626.27;652.28;683.89
29-12-99 11:00;464.84;526.16;620.38;647.16;679.73
29-12-99 12:00;464.34;521.4;614.79;642.05;675.3
29-12-99 13:00;464.15;517.18;609.48;636.99;670.63
29-12-99 14:00;464.21;513.45;604.45;632.02;666.02
29-12-99 15:00;464.46;510.19;599.71;627.2;661.51
29-12-99 16:00;464.81;507.35;595.25;622.45;657.04
29-12-99 17:00;465.25;504.87;591.06;617.8;652.61
29-12-99 18:00;465.74;502.73;587.12;613.3;648.25
29-12-99 19:00;466.25;500.87;583.47;608.95;643.99
29-12-99 20:00;466.79;499.25;580.09;604.74;639.79
29-12-99 21:00;467.33;497.86;576.94;600.71;635.67
29-12-99 22:00;467.88;496.66;574;596.88;631.74
29-12-99 23:00;468.43;495.63;571.24;593.25;627.93
30-12-99 00:00;468.97;494.75;568.65;589.78;624.15
30-12-99 01:00;469.5;494;566.23;586.49;620.65
30-12-99 02:00;470.03;493.24;563.93;583.4;617.21
30-12-99 03:00;470.53;492.56;561.73;580.43;613.97
30-12-99 04:00;471.01;492;559.63;577.42;610.92
30-12-99 05:00;471.47;491.54;557.52;574.68;607.96
30-12-99 06:00;471.9;491.13;555.54;572.15;604.87
30-12-99 07:00;472.31;490.75;553.69;569.68;601.86
30-12-99 08:00;472.7;490.41;551.96;567.31;598.98
30-12-99 09:00;473.07;490.08;550.37;565.08;596.28
30-12-99 10:00;473.41;489.78;548.9;563.01;593.75
30-12-99 11:00;473.74;489.5;547.53;561.1;591.38
30-12-99 12:00;474.04;489.24;546.27;559.32;589.08
30-12-99 13:00;474.33;489;545.1;557.67;586.88
30-12-99 14:00;474.6;488.78;544.01;556.14;584.82
30-12-99 15:00;474.86;488.58;543.01;554.72;582.87
30-12-99 16:00;475.1;488.39;542.08;553.39;581.04
30-12-99 17:00;475.33;488.22;541.21;552.17;579.32
30-12-99 18:00;475.54;488.06;540.38;551.06;577.71
30-12-99 19:00;475.74;487.92;539.6;550.03;576.2
