Time [yyyy-MM-dd HH:mm:ss];903.00_IJ.DOESBURG;922.00_IJ.BRUMMEN;932.00_IJ.ZUPTHEN;940.00_IJ.GORSSEL;947.00_IJ.DEVENTER
29-12-99 00:00;610.22;644.23;792.9;808.78;860.96
29-12-99 01:00;569.93;541.04;641.76;721.76;866.95
29-12-99 02:00;541.24;565.72;631.4;705.44;776.67
29-12-99 03:00;528.47;573.71;638.8;685.36;738.57
29-12-99 04:00;517.42;571.37;643.18;676;718.48
29-12-99 05:00;509.66;566.71;645;671.11;707.32
29-12-99 06:00;504.99;561.65;645.19;667.83;700.52
29-12-99 07:00;502.85;556.91;642.69;664.97;695.8
29-12-99 08:00;502.54;552.83;639.24;661.85;691.94
29-12-99 09:00;503.49;549.56;635.54;658.64;688.39
29-12-99 10:00;505.18;546.92;631.57;654.89;685
29-12-99 11:00;507.3;544.82;627.26;650.75;681.46
29-12-99 12:00;509.68;543.07;623.26;646.75;677.76
29-12-99 13:00;512.16;541.54;619.67;642.94;674.08
29-12-99 14:00;514.65;540.46;616.44;639.33;670.36
29-12-99 15:00;517.12;539.76;613.56;635.94;666.87
29-12-99 16:00;519.52;539.39;611.01;632.82;663.53
29-12-99 17:00;521.83;539.28;608.77;629.9;660.35
29-12-99 18:00;524.06;539.39;606.8;627.16;657.33
29-12-99 19:00;526.18;539.68;605.07;624.64;654.49
29-12-99 20:00;528.2;540.1;603.56;622.34;651.82
29-12-99 21:00;530.12;540.64;602.25;620.25;649.32
29-12-99 22:00;531.94;541.26;601.15;618.34;646.95
29-12-99 23:00;533.66;541.95;600.22;616.61;644.73
30-12-99 00:00;535.29;542.68;599.44;615.05;642.73
30-12-99 01:00;536.83;543.45;598.78;613.67;640.9
30-12-99 02:00;538.28;544.24;598.25;612.45;639.08
30-12-99 03:00;539.69;545.08;597.82;611.34;637.44
30-12-99 04:00;541.02;545.94;597.48;610.36;635.98
30-12-99 05:00;542.27;546.79;597.22;609.52;634.59
30-12-99 06:00;543.45;547.63;597.04;608.77;633.3
30-12-99 07:00;544.56;548.44;596.92;608.12;632.17
30-12-99 08:00;545.6;549.24;596.85;607.57;631.16
30-12-99 09:00;546.58;550.02;596.83;607.11;630.27
30-12-99 10:00;547.5;550.77;596.85;606.72;629.46
30-12-99 11:00;548.37;551.49;596.91;606.39;628.61
30-12-99 12:00;549.18;552.19;596.99;606.09;627.77
30-12-99 13:00;549.94;552.86;597.08;605.81;627.01
30-12-99 14:00;550.66;553.51;597.18;605.57;626.33
30-12-99 15:00;551.33;554.12;597.29;605.37;625.71
30-12-99 16:00;551.96;554.71;597.4;605.12;625.13
30-12-99 17:00;552.55;555.27;597.5;604.93;624.59
30-12-99 18:00;553.11;555.8;597.61;604.78;624.09
30-12-99 19:00;553.62;556.3;597.72;604.66;623.64
30-12-99 20:00;554.11;556.78;597.84;604.56;623.24
30-12-99 21:00;554.57;557.23;597.97;604.49;622.87
30-12-99 22:00;555;557.66;598.1;604.43;622.55
30-12-99 23:00;555.4;558.07;598.24;604.39;622.25
31-12-99 00:00;555.77;558.46;598.38;604.37;621.98
31-12-99 01:00;556.12;558.82;598.51;604.36;621.72
31-12-99 02:00;556.45;559.17;598.64;604.35;621.48
31-12-99 03:00;556.76;559.5;598.77;604.35;621.26
31-12-99 04:00;557.05;559.81;598.9;604.36;621.05
31-12-99 05:00;557.32;560.1;599.02;604.36;620.85
31-12-99 06:00;557.57;560.38;599.14;604.38;620.67
31-12-99 07:00;557.81;560.64;599.25;604.39;620.51
31-12-99 08:00;558.03;560.89;599.36;604.41;620.35
31-12-99 09:00;558.24;561.12;599.46;604.42;620.2
31-12-99 10:00;558.44;561.34;599.57;604.44;620.06
31-12-99 11:00;558.62;561.54;599.66;604.46;619.92
31-12-99 12:00;558.79;561.74;599.75;604.47;619.8
31-12-99 13:00;558.96;561.92;599.84;604.49;619.68
31-12-99 14:00;559.11;562.09;599.92;604.51;619.56
31-12-99 15:00;559.25;562.26;599.99;604.52;619.46
31-12-99 16:00;559.38;562.41;600.07;604.53;619.35
31-12-99 17:00;559.51;562.55;600.13;604.55;619.25
31-12-99 18:00;559.62;562.69;600.19;604.56;619.16
31-12-99 19:00;559.73;562.81;600.25;604.57;619.06
31-12-99 20:00;559.84;562.93;600.31;604.57;618.98
31-12-99 21:00;559.93;563.04;600.36;604.58;618.89
31-12-99 22:00;560.02;563.15;600.4;604.58;618.81
31-12-99 23:00;560.11;563.25;600.45;604.59;618.73
01-01-00 00:00;560.19;563.34;600.49;604.59;618.65
01-01-00 01:00;560.26;563.42;600.52;604.59;618.58
01-01-00 02:00;560.33;563.5;600.55;604.59;618.5
01-01-00 03:00;560.4;563.58;600.58;604.59;618.43
01-01-00 04:00;560.45;563.65;600.61;604.58;618.37
01-01-00 05:00;560.5;563.71;600.64;604.58;618.3
01-01-00 06:00;560.54;563.77;600.66;604.57;618.23
01-01-00 07:00;560.57;563.82;600.67;604.56;618.17
01-01-00 08:00;560.6;563.87;600.69;604.55;618.11
01-01-00 09:00;560.62;563.91;600.7;604.54;618.05
01-01-00 10:00;560.63;563.94;600.71;604.53;617.99
01-01-00 11:00;560.64;563.97;600.72;604.51;617.93
