Time [yyyy-MM-dd HH:mm:ss];903.00_IJ: Water level at (IJssel03_A_ 919)_ Flow1D [m AD];922.00_IJ: Water level at (IJssel03_B_B_A_ 0)_ Flow1D [m AD];932.00_IJ: Water level at (IJssel04_B_ 0)_ Flow1D [m AD];940.00_IJ: Water level at (IJssel05_B_ 0)_ Flow1D [m AD];947.00_IJ: Water level at (IJssel06_B_B_B_A_ 0)_ Flow1D [m AD]
29-12-99 00:00;8.7748;6.1;6.62;6.0595;5.3602
29-12-99 01:00;8.6407;7.1029;6.5842;5.8856;5.1393
29-12-99 02:00;8.5623;7.2355;6.535;5.824;5.1128
29-12-99 03:00;8.5036;7.2786;6.5094;5.7861;5.093
29-12-99 04:00;8.4506;7.2878;6.4909;5.7615;5.0743
29-12-99 05:00;8.4012;7.2801;6.4745;5.7437;5.0575
29-12-99 06:00;8.3554;7.2628;6.4579;5.7291;5.0424
29-12-99 07:00;8.3131;7.2403;6.4402;5.716;5.0284
29-12-99 08:00;8.2738;7.2148;6.4211;5.703;5.0152
29-12-99 09:00;8.2376;7.1877;6.4006;5.6897;5.0022
29-12-99 10:00;8.2044;7.1597;6.3788;5.6749;4.9892
29-12-99 11:00;8.1738;7.1315;6.3566;5.6588;4.9758
29-12-99 12:00;8.1457;7.1039;6.3342;5.6418;4.9619
29-12-99 13:00;8.1198;7.0772;6.3116;5.6241;4.9478
29-12-99 14:00;8.0959;7.0514;6.289;5.6059;4.9333
29-12-99 15:00;8.074;7.0266;6.2665;5.5871;4.9185
29-12-99 16:00;8.0537;7.0027;6.2441;5.5681;4.9033
29-12-99 17:00;8.035;6.9798;6.222;5.5489;4.8878
29-12-99 18:00;8.0176;6.9579;6.2002;5.5296;4.8722
29-12-99 19:00;8.0015;6.9368;6.1788;5.5104;4.8562
29-12-99 20:00;7.9864;6.9166;6.1579;5.4911;4.8402
29-12-99 21:00;7.9724;6.8972;6.1374;5.472;4.8241
29-12-99 22:00;7.9592;6.8786;6.1173;5.453;4.8078
