Time [yyyy-MM-dd HH:mm:ss];903.00_IJ.DOESBURG;922.00_IJ.BRUMMEN;932.00_IJ.ZUPTHEN;940.00_IJ.GORSSEL;947.00_IJ.DEVENTER;;;;;;
29-12-99 00:00;8.7748;6.1;6.62;6.0595;5.3602;;;;;;
29-12-99 01:00;8.6408;7.1029;6.5842;5.8856;5.1393;;;;;;
29-12-99 02:00;8.5644;7.2356;6.535;5.824;5.1128;;;;;;
29-12-99 03:00;8.5116;7.2793;6.5095;5.7861;5.093;;;;;;
29-12-99 04:00;8.4678;7.2901;6.4912;5.7616;5.0743;;;;;;
29-12-99 05:00;8.4297;7.2853;6.4752;5.7438;5.0575;;;;;;
29-12-99 06:00;8.3964;7.2722;6.4595;5.7294;5.0424;;;;;;
29-12-99 07:00;8.3674;7.2548;6.4433;5.7167;5.0286;;;;;;
29-12-99 08:00;8.3425;7.2352;6.4264;5.7043;5.0156;;;;;;
29-12-99 09:00;8.3211;7.2151;6.4087;5.6919;5.0029;;;;;;
29-12-99 10:00;8.3028;7.1951;6.3904;5.6788;4.9905;;;;;;
29-12-99 11:00;8.2875;7.1757;6.3722;5.6647;4.978;;;;;;
29-12-99 12:00;8.2746;7.1572;6.3543;5.6502;4.9652;;;;;;
29-12-99 13:00;8.264;7.14;6.3369;5.6354;4.9522;;;;;;
29-12-99 14:00;8.2553;7.1242;6.3199;5.6204;4.9393;;;;;;
29-12-99 15:00;8.2482;7.1097;6.3035;5.6055;4.9263;;;;;;
29-12-99 16:00;8.2425;7.0964;6.2877;5.5907;4.9132;;;;;;
29-12-99 17:00;8.2381;7.0843;6.2726;5.576;4.9002;;;;;;
29-12-99 18:00;8.2346;7.0732;6.2582;5.5617;4.8873;;;;;;
29-12-99 19:00;8.2321;7.0631;6.2444;5.5478;4.8745;;;;;;
29-12-99 20:00;8.2303;7.054;6.2314;5.5342;4.8618;;;;;;
29-12-99 21:00;8.2291;7.0456;6.2191;5.5211;4.8493;;;;;;
29-12-99 22:00;8.2284;7.0381;6.2074;5.5085;4.837;;;;;;
29-12-99 23:00;8.2281;7.0312;6.1964;5.4963;4.8249;;;;;;
30-12-99 00:00;8.2282;7.0249;6.1861;5.4845;4.8132;;;;;;
30-12-99 01:00;8.2286;7.0192;6.1763;5.4733;4.8016;;;;;;
30-12-99 02:00;8.2292;7.014;6.1671;5.4624;4.7904;;;;;;
30-12-99 03:00;8.2301;7.0094;6.1584;5.452;4.7795;;;;;;
30-12-99 04:00;8.231;7.0052;6.1503;5.4421;4.769;;;;;;
30-12-99 05:00;8.2321;7.0014;6.1427;5.4327;4.7587;;;;;;
30-12-99 06:00;8.2332;6.998;6.1355;5.4236;4.7489;;;;;;
30-12-99 07:00;8.2344;6.9949;6.1288;5.415;4.7394;;;;;;
30-12-99 08:00;8.2356;6.9921;6.1226;5.4068;4.7301;;;;;;
30-12-99 09:00;8.2368;6.9895;6.1167;5.399;4.7212;;;;;;
30-12-99 10:00;8.2381;6.9872;6.1111;5.3915;4.7125;;;;;;
30-12-99 11:00;8.2393;6.9851;6.1059;5.3844;4.7043;;;;;;
30-12-99 12:00;8.2405;6.9831;6.101;5.3776;4.6965;;;;;;
30-12-99 13:00;8.2417;6.9813;6.0964;5.3711;4.6891;;;;;;
30-12-99 14:00;8.2429;6.9797;6.0921;5.3651;4.682;;;;;;
30-12-99 15:00;8.2441;6.9782;6.088;5.3593;4.6752;;;;;;
30-12-99 16:00;8.2452;6.9768;6.0842;5.3539;4.6688;;;;;;
30-12-99 17:00;8.2463;6.9755;6.0806;5.3488;4.6626;;;;;;
30-12-99 18:00;8.2473;6.9743;6.0772;5.344;4.6567;;;;;;
30-12-99 19:00;8.2483;6.9732;6.0741;5.3394;4.651;;;;;;
30-12-99 20:00;8.2493;6.9722;6.0711;5.3351;4.6455;;;;;;
30-12-99 21:00;8.2502;6.9713;6.0684;5.331;4.6403;;;;;;
30-12-99 22:00;8.2511;6.9705;6.0658;5.3271;4.6353;;;;;;
30-12-99 23:00;8.2519;6.9697;6.0633;5.3234;4.6305;;;;;;
31-12-99 00:00;8.2527;6.9689;6.061;5.3199;4.6259;;;;;;
31-12-99 01:00;8.2534;6.9682;6.0588;5.3165;4.6215;;;;;;
31-12-99 02:00;8.2541;6.9676;6.0567;5.3133;4.6174;;;;;;
31-12-99 03:00;8.2548;6.967;6.0548;5.3103;4.6134;;;;;;
31-12-99 04:00;8.2554;6.9664;6.0529;5.3074;4.6096;;;;;;
31-12-99 05:00;8.256;6.9659;6.0512;5.3047;4.606;;;;;;
31-12-99 06:00;8.2566;6.9654;6.0495;5.3021;4.6025;;;;;;
31-12-99 07:00;8.2571;6.9649;6.0479;5.2996;4.5992;;;;;;
31-12-99 08:00;8.2576;6.9644;6.0464;5.2972;4.5961;;;;;;
31-12-99 09:00;8.258;6.964;6.045;5.295;4.5931;;;;;;
31-12-99 10:00;8.2585;6.9635;6.0437;5.2929;4.5902;;;;;;
31-12-99 11:00;8.2588;6.9631;6.0424;5.2908;4.5875;;;;;;
31-12-99 12:00;8.2592;6.9627;6.0412;5.2889;4.5849;;;;;;
31-12-99 13:00;8.2595;6.9624;6.04;5.2871;4.5825;;;;;;
31-12-99 14:00;8.2598;6.962;6.0389;5.2853;4.5801;;;;;;
31-12-99 15:00;8.2601;6.9617;6.0378;5.2836;4.5779;;;;;;
31-12-99 16:00;8.2604;6.9613;6.0368;5.282;4.5758;;;;;;
31-12-99 17:00;8.2606;6.961;6.0359;5.2805;4.5738;;;;;;
31-12-99 18:00;8.2609;6.9607;6.0349;5.2791;4.5719;;;;;;
31-12-99 19:00;8.2611;6.9604;6.0341;5.2777;4.57;;;;;;
31-12-99 20:00;8.2612;6.9601;6.0332;5.2764;4.5683;;;;;;
31-12-99 21:00;8.2614;6.9598;6.0324;5.2751;4.5666;;;;;;
31-12-99 22:00;8.2615;6.9595;6.0316;5.274;4.5651;;;;;;
31-12-99 23:00;8.2617;6.9592;6.0309;5.2728;4.5636;;;;;;
01-01-00 00:00;8.2618;6.9589;6.0302;5.2717;4.5621;;;;;;
01-01-00 01:00;8.2619;6.9587;6.0295;5.2707;4.5608;;;;;;
01-01-00 02:00;8.262;6.9584;6.0289;5.2697;4.5595;;;;;;
01-01-00 03:00;8.2621;6.9581;6.0283;5.2688;4.5582;;;;;;
01-01-00 04:00;8.2621;6.9579;6.0277;5.2679;4.5571;;;;;;
01-01-00 05:00;8.2622;6.9577;6.0271;5.267;4.556;;;;;;
01-01-00 06:00;8.2622;6.9574;6.0266;5.2662;4.5549;;;;;;
01-01-00 07:00;8.2622;6.9572;6.026;5.2654;4.5539;;;;;;
01-01-00 08:00;8.2622;6.9569;6.0255;5.2647;4.5529;;;;;;
01-01-00 09:00;8.2622;6.9567;6.025;5.264;4.552;;;;;;
01-01-00 10:00;8.2621;6.9565;6.0246;5.2633;4.5511;;;;;;
01-01-00 11:00;8.2621;6.9562;6.0241;5.2627;4.5503;;;;;;
01-01-00 12:00;8.262;6.956;6.0237;5.2621;4.5495;;;;;;
01-01-00 13:00;8.2619;6.9558;6.0233;5.2615;4.5487;;;;;;
01-01-00 14:00;8.2618;6.9555;6.0229;5.2609;4.548;;;;;;
01-01-00 15:00;8.2616;6.9553;6.0225;5.2604;4.5473;;;;;;
01-01-00 16:00;8.2615;6.9551;6.0221;5.2599;4.5467;;;;;;
01-01-00 17:00;8.2614;6.9549;6.0217;5.2594;4.5461;;;;;;
01-01-00 18:00;8.2612;6.9547;6.0214;5.2589;4.5455;;;;;;
01-01-00 19:00;8.261;6.9545;6.0211;5.2585;4.545;;;;;;
01-01-00 20:00;8.2608;6.9543;6.0207;5.258;4.5444;;;;;;
01-01-00 21:00;8.2607;6.9541;6.0204;5.2576;4.5439;;;;;;
01-01-00 22:00;8.2605;6.9539;6.0201;5.2572;4.5435;;;;;;
01-01-00 23:00;8.2603;6.9536;6.0198;5.2569;4.543;;;;;;
02-01-00 00:00;8.26;6.9534;6.0195;5.2565;4.5426;;;;;;
02-01-00 01:00;8.2598;6.9532;6.0193;5.2562;4.5422;;;;;;
02-01-00 02:00;8.2596;6.953;6.019;5.2558;4.5418;;;;;;
02-01-00 03:00;8.2593;6.9528;6.0187;5.2555;4.5414;;;;;;
02-01-00 04:00;8.2591;6.9526;6.0184;5.2552;4.5411;;;;;;
02-01-00 05:00;8.2588;6.9524;6.0182;5.2549;4.5407;;;;;;
02-01-00 06:00;8.2585;6.9521;6.0179;5.2546;4.5404;;;;;;
02-01-00 07:00;8.2582;6.9519;6.0177;5.2543;4.5401;;;;;;
02-01-00 08:00;8.2578;6.9516;6.0174;5.2541;4.5398;;;;;;
02-01-00 09:00;8.2574;6.9514;6.0172;5.2538;4.5395;;;;;;
02-01-00 10:00;8.257;6.9511;6.0169;5.2535;4.5392;;;;;;
02-01-00 11:00;8.2565;6.9508;6.0167;5.2533;4.539;;;;;;
02-01-00 12:00;8.256;6.9505;6.0164;5.253;4.5387;;;;;;
02-01-00 13:00;8.2555;6.9502;6.0161;5.2528;4.5385;;;;;;
02-01-00 14:00;8.255;6.95;6.0159;5.2526;4.5383;;;;;;
02-01-00 15:00;8.2545;6.9498;6.0157;5.2525;4.5382;;;;;;
